Garsoniera Militari Residence martie 2026,40 000 €,"Bucuresti, Sectorul 6",30 m²,https://www.storia.ro/ro/oferta/garsoniera-militari-residence-martie-2026-IDEKal.html
Garsoniera Militari Vest Group Proiect Weiner Residence,37 150 €,Rosu,30 m²,https://www.storia.ro/ro/oferta/garsoniera-militari-vest-group-proiect-weiner-residence-IDDAkB.html
Central Address Residence - 3 camere,205 700 €,"Bucuresti, Sectorul 5",121 m²,https://www.storia.ro/ro/oferta/central-address-residence-3-camere-IDmes5.html
De vanzare garsoniera dubla cu incalzire in pardoseala - Sos. Salaj,67 900 €,"Bucuresti, Sectorul 5",50 m²,https://www.storia.ro/ro/oferta/de-vanzare-garsoniera-dubla-cu-incalzire-in-pardoseala-sos-salaj-IDBPai.html
3 Rooms Penthouse + Terrace 16SQM + Parking | H Pipera Lake - Porsche,199 980 €,"Bucuresti, Sectorul 1",80 m²,https://www.storia.ro/ro/oferta/3-rooms-penthouse-terrace-16sqm-parking-h-pipera-lake-porsche-IDE6Ko.html
Apartament 2 camere Unirii-Tineretului T639,99 900 €,"Bucuresti, Sectorul 4",48 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-unirii-tineretului-t639-IDEXNL.html
Vanzare locuri de parcare piata Progresul-Intrarea Targu Frumos,10 000 €,"Bucuresti, Sectorul 4",13 m²,https://www.storia.ro/ro/oferta/vanzare-locuri-de-parcare-piata-progresul-intrarea-targu-frumos-IDEcmr.html
"Gars decomandata 38m, tripan ,incalzire pardoseala,stradal GIURGIULUI",53 500 €,"Bucuresti, Sectorul 4",38 m²,https://www.olx.ro/d/oferta/gars-decomandata-38m-tripan-incalzire-pardoseala-stradal-giurgiului-IDjAVST.html
"Garsoniera Vitan Mall – Strada Brailita, reabilitata si renovata",89 900 €,"Bucuresti, Sectorul 3",42 m²,https://www.storia.ro/ro/oferta/garsoniera-vitan-mall-strada-brailita-reabilitata-si-renovata-IDDHlk.html
Vanzare Apartamente 2 camere Bld Theodor Pallady,84 000 €,"Bucuresti, Sectorul 3",45 m²,https://www.storia.ro/ro/oferta/vanzare-apartamente-2-camere-bld-theodor-pallady-IDE1ie.html
Comision 0% | Apartament 3 camere IANCU NICOLAE Pipera,289 900 €,Voluntari,111 m²,https://www.storia.ro/ro/oferta/comision-0-apartament-3-camere-iancu-nicolae-pipera-IDBxYg.html
3 cam Rahova -Teius-Ap in Rate,35 000 €,"Bucuresti, Sectorul 5",52 m²,https://www.storia.ro/ro/oferta/3-cam-rahova-teius-ap-in-rate-IDDx34.html
Ap. doua camere zona Militari Residence mutare imediata,65 000 €,"Bucuresti, Sectorul 6",49 m²,https://www.storia.ro/ro/oferta/ap-doua-camere-zona-militari-residence-mutare-imediata-IDEKbb.html
Central Address Residence-zona 13 Septembrie-Marriott-Viilor-Carol,134 850 €,"Bucuresti, Sectorul 5",93 m²,https://www.storia.ro/ro/oferta/central-address-residence-zona-13-septembrie-marriott-viilor-carol-IDmhgo.html
Garsoniera Decomandata Direct Dezvoltator Vest Group Militari,42 300 €,Rosu,35 m²,https://www.storia.ro/ro/oferta/garsoniera-decomandata-direct-dezvoltator-vest-group-militari-IDDAkO.html
"Proprietar vând / închiriez Apartament 3 camere, 91 mp, Otopeni",139 000 €,Otopeni,91 m²,https://www.storia.ro/ro/oferta/proprietar-vnd-nchiriez-apartament-3-camere-91-mp-otopeni-IDF2uh.html
"Apartament de vanzare Hils Republica, Basarabia, Metrou Republica",90 000 €,"Bucuresti, Sectorul 3",57 m²,https://www.storia.ro/ro/oferta/apartament-de-vanzare-hils-republica-basarabia-metrou-republica-IDF2qo.html
2 Camere Rahova -Tunsu Petre,37 800 €,"Bucuresti, Sectorul 5",38 m²,https://www.storia.ro/ro/oferta/2-camere-rahova-tunsu-petre-IDDHyn.html
"Vanzare apartament 3 camere decomandat,",100 000 €,Dobroesti,80 m²,https://www.storia.ro/ro/oferta/vanzare-apartament-3-camere-decomandat-IDEruR.html
"Apartament de vanzare Hils Republica, Basarabia, Metrou",85 500 €,"Bucuresti, Sectorul 3",50 m²,https://www.storia.ro/ro/oferta/apartament-de-vanzare-hils-republica-basarabia-metrou-IDEbID.html
De vanzare Apartament 2 Camere Bucur Obor,89 000 €,"Bucuresti, Sectorul 2",45 m²,https://www.storia.ro/ro/oferta/de-vanzare-apartament-2-camere-bucur-obor-IDF3Bp.html
Garsoniera in zona Militari Residence finalizare aprilie 2026,45 500 €,"Bucuresti, Sectorul 6",35 m²,https://www.storia.ro/ro/oferta/garsoniera-in-zona-militari-residence-finalizare-aprilie-2026-IDEKb5.html
Ap. 2 cam. martie 2026 zona Militari Residence,57 500 €,"Bucuresti, Sectorul 6",45 m²,https://www.storia.ro/ro/oferta/ap-2-cam-martie-2026-zona-militari-residence-IDEKay.html
"Prelungirea Ghencea, Cartierul Latin, 3 camere, 96mp, etaj 4, decomand",125 000 €,"Bucuresti, Sectorul 1",96 m²,https://www.storia.ro/ro/oferta/prelungirea-ghencea-cartierul-latin-3-camere-96mp-etaj-4-decomand-IDxdP8.html
Loc parcare subteran Piata Obor | + TVA,15 000 €,"Bucuresti, Sectorul 2",13 m²,https://www.storia.ro/ro/oferta/loc-parcare-subteran-piata-obor-tva-IDCIHC.html
PROMOTIE TVA 21 % Inclus Garsoniera in constructie bloc nou Sector 4,56 700 €,"Bucuresti, Sectorul 4",37 m²,https://www.storia.ro/ro/oferta/promotie-tva-21-inclus-garsoniera-in-constructie-bloc-nou-sector-4-IDF0Ob.html
"Vanzare ap 2 camere dec, mobilat, utilat, bloc 1982, Zona Tei",83 000 €,"Bucuresti, Sectorul 2",45 m²,https://www.storia.ro/ro/oferta/vanzare-ap-2-camere-dec-mobilat-utilat-bloc-1982-zona-tei-IDEyct.html
"Garsoniera confort 1, zona Iulia Hasdeu total renovata","73 000 €
Prețul e negociabil","Bucuresti, Sectorul 2",30 m²,https://www.olx.ro/d/oferta/garsoniera-confort-1-zona-iulia-hasdeu-total-renovata-IDjV2iY.html
